Chrom	Edge
chr21	>105399255>105399257
chr21	>105399306>105399307
chr21	>105400190>105400191
chr21	>105403087>105403089
chr21	>105406575>105406577
chr21	>105400293>105400294
chr21	>105400533>105400534
chr21	>105405625>105405626
chr21	>105406062>105406063
chr21	>105405399>105405400
chr21	>105401392>105401393
chr21	>105406092>105406094
chr21	>105404093>105404095
chr21	>105401751>105401753
chr21	>105405687>105405689
chr21	>105402180>105402182
chr21	>105406901>105406902
chr21	>105405307>105405308
chr21	>105403549>105403551
chr21	>105402961>105402962
chr21	>105398663>105398665
chr21	>105404010>105404011
chr21	>105402148>105402150
chr21	>105402879>105402880
chr21	>105404135>105404137
chr21	>105403964>105403966
chr21	>105398693>105398695
chr21	>105402608>105402610
chr21	>105400099>105400100
chr21	>105400099>105400115
chr21	>105403194>105403195
chr21	>105404732>105404733
chr21	>105405419>105405420
chr21	>105406702>105406703
chr21	>105401503>105401505
chr21	>105403579>105403580
chr21	>105406470>105406472
chr21	>105399490>105399492
chr21	>105406811>105406813
chr21	>105406730>105406731
chr21	>105407443>105407444
chr21	>105405947>105405949
chr21	>105400630>105400631
chr21	>105398864>105398866
chr21	>105398524>105398526
chr21	>105402816>105402818
chr21	>105400661>105400663
chr21	>105399851>105399854
chr21	>105407345>105407347
chr21	>105405112>105405113
chr21	>105400137>105400139
chr21	>105406458>105406459
chr21	>105401911>105401912
chr21	>105407039>105407041
chr21	>105400819>105400821
chr21	>105401202>105401204
chr21	>105402946>105402947
chr21	>105401639>105401642
chr21	>105403476>105403477
chr21	>105399498>105399499
chr21	>105405596>105405598
chr21	>105403141>105403143
chr21	>105399998>105400000
chr21	>105403216>105403217
chr21	>105405298>105405299
chr21	>105403289>105403290
chr21	>105403289>105403291
chr21	>105405861>105405863
chr21	>105400429>105400431
chr21	>105398801>105398802
chr21	>105400361>105400362
chr21	>105400910>105400912
chr21	>105405293>105405295
chr21	>105403715>105403716
chr21	>105406326>105406327
chr21	>105406326>105406328
chr21	>105399216>105399217
chr21	>105401309>105401311
chr21	>105402593>105402595
chr21	>105401651>105401652
chr21	>105401933>105401934
chr21	>105407591>105407592
chr21	>105406651>105406652
chr21	>105399238>105399239
chr21	>105402525>105402527
chr21	>105405180>105405181
chr21	>105406882>105406883
chr21	>105401910>105401911
chr21	>105401910>105401912
chr21	>105403589>105403591
chr21	>105403829>105403831
chr21	>105404308>105404310
chr21	>105406267>105406269
chr21	>105405665>105405666
chr21	>105404779>105404781
chr21	>105404779>105404782
chr21	>105406257>105406258
chr21	>105406536>105406537
chr21	>105406536>105406545
chr21	>105401268>105401269
chr21	>105405714>105405716
chr21	>105404119>105404120
chr21	>105405647>105405649
chr21	>105400806>105400807
chr21	>105405538>105405540
chr21	>105398591>105398593
chr21	>105402513>105402515
chr21	>105403537>105403538
chr21	>105400728>105400730
chr21	>105402544>105402545
chr21	>105401746>105401747
chr21	>105401746>105401748
chr21	>105405710>105405711
chr21	>105405304>105405305
chr21	>105407116>105407117
chr21	>105405503>105405504
chr21	>105405824>105405825
chr21	>105406212>105406213
chr21	>105398859>105398861
chr21	>105400221>105400223
chr21	>105401022>105401023
chr21	>105405985>105405986
chr21	>105405601>105405602
chr21	>105403407>105403408
chr21	>105399872>105399873
chr21	>105398631>105398633
chr21	>105401995>105401996
chr21	>105407050>105407051
chr21	>105403816>105403817
chr21	>105403125>105403126
chr21	>105401679>105401681
chr21	>105404920>105404921
chr21	>105398930>105398931
chr21	>105398810>105398811
chr21	>105401083>105401085
chr21	>105402530>105402531
chr21	>105399052>105399053
chr21	>105405058>105405059
chr21	>105401449>105401450
chr21	>105401941>105401942
chr21	>105405867>105405869
chr21	>105404352>105404353
chr21	>105407609>105407611
chr21	>105400540>105400542
chr21	>105402279>105402281
chr21	>105401944>105401945
chr21	>105403310>105403312
chr21	>105399666>105399667
chr21	>105404768>105404770
chr21	>105402373>105402375
chr21	>105400339>105400341
chr21	>105398470>105398472
chr21	>105406914>105406916
chr21	>105404586>105404588
chr21	>105398555>105398557
chr21	>105400486>105400487
chr21	>105405464>105405465
chr21	>105407542>105407543
chr21	>105399947>105399948
chr21	>105400660>105400661
chr21	>105398750>105398751
chr21	>105400275>105400277
chr21	>105401779>105401781
chr21	>105407486>105407487
chr21	>105399925>105399927
chr21	>105406691>105406693
chr21	>105401892>105401893
chr21	>105399889>105399891
chr21	>105402193>105402195
chr21	>105398986>105398987
chr21	>105403391>105403392
chr21	>105403391>105403394
chr21	>105403157>105403158
chr21	>105399655>105399657
chr21	>105399704>105399706
chr21	>105399704>105399707
chr21	>105399704>105399708
chr21	>105399620>105399622
chr21	>105406078>105406080
chr21	>105407507>105407509
chr21	>105405122>105405124
chr21	>105404035>105404037
chr21	>105405452>105405453
chr21	>105400345>105400347
chr21	>105403372>105403374
chr21	>105406657>105406658
chr21	>105403878>105403880
chr21	>105403913>105403914
chr21	>105405641>105405643
chr21	>105401762>105401763
chr21	>105406667>105406668
chr21	>105402813>105402815
chr21	>105406636>105406637
chr21	>105402339>105402340
chr21	>105400277>105400278
chr21	>105406423>105406424
chr21	>105401117>105401119
chr21	>105405644>105405646
chr21	>105407600>105407601
chr21	>105407045>105407047
chr21	>105403092>105403093
chr21	>105405730>105405731
chr21	>105406941>105406942
chr21	>105406063>105406065
chr21	>105398816>105398817
chr21	>105399914>105399916
chr21	>105398937>105398939
chr21	>105401839>105401841
chr21	>105400615>105400616
chr21	>105406365>105406366
chr21	>105407466>105407467
chr21	>105399111>105399113
chr21	>105402234>105402236
chr21	>105399565>105399566
chr21	>105401455>105401456
chr21	>105401455>105401465
chr21	>105402766>105402768
chr21	>105400385>105400386
chr21	>105404175>105404176
chr21	>105406852>105406853
chr21	>105401385>105401387
chr21	>105398726>105398727
chr21	>105405545>105405546
chr21	>105403486>105403488
chr21	>105399797>105399798
chr21	>105401484>105401485
chr21	>105406765>105406767
chr21	>105403743>105403744
chr21	>105401514>105401516
chr21	>105402649>105402651
chr21	>105404038>105404040
chr21	>105401062>105401063
chr21	>105405385>105405387
chr21	>105403063>105403065
chr21	>105399387>105399388
chr21	>105405983>105405985
chr21	>105405412>105405414
chr21	>105400756>105400758
chr21	>105403785>105403787
chr21	>105398605>105398607
chr21	>105399922>105399924
chr21	>105401190>105401192
chr21	>105405129>105405130
chr21	>105400792>105400794
chr21	>105406019>105406020
chr21	>105404877>105404879
chr21	>105406740>105406742
chr21	>105405575>105405577
chr21	>105399580>105399581
chr21	>105400230>105400231
chr21	>105400919>105400921
chr21	>105401073>105401074
chr21	>105399916>105399917
chr21	>105406175>105406177
chr21	>105403299>105403300
chr21	>105399539>105399541
chr21	>105404610>105404612
chr21	>105400562>105400563
chr21	>105403982>105403984
chr21	>105403774>105403776
chr21	>105405269>105405270
chr21	>105404533>105404534
chr21	>105403675>105403676
chr21	>105407300>105407301
chr21	>105407111>105407113
chr21	>105401487>105401488
chr21	>105404331>105404332
chr21	>105404331>105404333
chr21	>105404954>105404955
chr21	>105403048>105403049
chr21	>105406699>105406700
chr21	>105407441>105407442
chr21	>105407441>105407443
chr21	>105403062>105403063
chr21	>105400808>105400811
chr21	>105401564>105401566
chr21	>105401564>105401570
chr21	>105406630>105406631
chr21	>105405949>105405950
chr21	>105402831>105402833
chr21	>105404937>105404938
chr21	>105407477>105407478
chr21	>105404570>105404572
chr21	>105398609>105398610
chr21	>105406864>105406865
chr21	>105406742>105406744
chr21	>105403143>105403144
chr21	>105398541>105398543
chr21	>105406118>105406119
chr21	>105406109>105406110
chr21	>105399149>105399151
chr21	>105405706>105405707
chr21	>105401974>105401975
chr21	>105406195>105406196
chr21	>105404771>105404773
chr21	>105406823>105406825
chr21	>105403017>105403019
chr21	>105404983>105404985
chr21	>105407489>105407490
chr21	>105407460>105407461
chr21	>105402699>105402700
chr21	>105405585>105405587
chr21	>105401642>105401643
chr21	>105402515>105402516
chr21	>105406660>105406661
chr21	>105402576>105402578
chr21	>105400428>105400429
chr21	>105398497>105398499
chr21	>105401859>105401860
chr21	>105405423>105405425
chr21	>105403278>105403280
chr21	>105400394>105400395
chr21	>105405690>105405692
chr21	>105407053>105407054
chr21	>105407350>105407352
chr21	>105399602>105399604
chr21	>105400444>105400446
chr21	>105401441>105401443
chr21	>105403869>105403870
chr21	>105404203>105404204
chr21	>105400645>105400646
chr21	>105401381>105401382
chr21	>105399222>105399224
chr21	>105403990>105403991
chr21	>105403990>105403992
chr21	>105404314>105404316
chr21	>105406850>105406852
chr21	>105404667>105404668
chr21	>105406690>105406691
chr21	>105405863>105405864
chr21	>105403425>105403426
chr21	>105406747>105406748
chr21	>105399753>105399755
chr21	>105401719>105401720
chr21	>105398822>105398823
chr21	>105401007>105401008
chr21	>105402401>105402402
chr21	>105401829>105401830
chr21	>105404313>105404314
chr21	>105402246>105402248
chr21	>105399099>105399100
chr21	>105403135>105403137
chr21	>105399637>105399639
chr21	>105401544>105401546
chr21	>105405160>105405162
chr21	>105403522>105403524
chr21	>105406478>105406479
chr21	>105405171>105405172
chr21	>105402718>105402720
chr21	>105402747>105402748
chr21	>105398773>105398774
chr21	>105398773>105398776
chr21	>105402369>105402370
chr21	>105401458>105401459
chr21	>105401458>105401465
chr21	>105404004>105404005
chr21	>105404754>105404756
chr21	>105403230>105403231
chr21	>105400152>105400155
chr21	>105403636>105403637
chr21	>105400315>105400317
chr21	>105399128>105399130
chr21	>105400996>105400997
chr21	>105405743>105405745
chr21	>105400029>105400030
chr21	>105401050>105401051
chr21	>105402572>105402573
chr21	>105403766>105403768
chr21	>105399327>105399329
chr21	>105406344>105406346
chr21	>105398730>105398732
chr21	>105401556>105401558
chr21	>105405740>105405742
chr21	>105400574>105400576
chr21	>105401614>105401615
chr21	>105406193>105406195
chr21	>105407194>105407195
chr21	>105405322>105405323
chr21	>105400465>105400467
chr21	>105405613>105405614
chr21	>105407598>105407600
chr21	>105401129>105401131
chr21	>105401274>105401276
chr21	>105399735>105399736
chr21	>105399735>105399737
chr21	>105402910>105402911
chr21	>105402079>105402080
chr21	>105400780>105400782
chr21	>105407186>105407188
chr21	>105406242>105406243
chr21	>105401646>105401647
chr21	>105398739>105398741
chr21	>105399521>105399522
chr21	>105399521>105399524
chr21	>105406276>105406278
chr21	>105401842>105401844
chr21	>105402396>105402398
chr21	>105403077>105403078
chr21	>105405391>105405393
chr21	>105401126>105401128
chr21	>105406069>105406071
chr21	>105403808>105403809
chr21	>105401567>105401569
chr21	>105407255>105407257
chr21	>105404989>105404991
chr21	>105403967>105403969
chr21	>105400622>105400624
chr21	>105399422>105399424
chr21	>105407012>105407013
chr21	>105404144>105404146
chr21	>105401312>105401314
chr21	>105401535>105401536
chr21	>105405196>105405198
chr21	>105399963>105399964
chr21	>105406450>105406451
chr21	>105405530>105405531
chr21	>105405458>105405459
chr21	>105400214>105400215
chr21	>105402956>105402958
chr21	>105401711>105401712
chr21	>105401711>105401713
chr21	>105402485>105402486
chr21	>105403248>105403249
chr21	>105403712>105403713
chr21	>105406528>105406530
chr21	>105399196>105399198
chr21	>105403916>105403917
chr21	>105400844>105400845
chr21	>105398637>105398639
chr21	>105402233>105402234
chr21	>105400582>105400583
chr21	>105403762>105403763
chr21	>105403440>105403442
chr21	>105403346>105403347
chr21	>105403346>105403348
chr21	>105401025>105401026
chr21	>105400140>105400142
chr21	>105402531>105402533
chr21	>105399822>105399824
chr21	>105404068>105404069
chr21	>105405901>105405902
chr21	>105401984>105401986
chr21	>105403780>105403782
chr21	>105405836>105405837
chr21	>105406885>105406886
chr21	>105406885>105406887
chr21	>105398613>105398615
chr21	>105401618>105401620
chr21	>105399191>105399193
chr21	>105405113>105405115
chr21	>105398484>105398485
chr21	>105403950>105403952
chr21	>105402012>105402013
chr21	>105400816>105400818
chr21	>105403678>105403679
chr21	>105403546>105403548
chr21	>105405769>105405770
chr21	>105403456>105403457
chr21	>105407077>105407078
chr21	>105401297>105401299
chr21	>105401425>105401426
chr21	>105399810>105399812
chr21	>105406125>105406127
chr21	>105402692>105402693
chr21	>105405973>105405974
chr21	>105399956>105399958
chr21	>105404183>105404184
chr21	>105404183>105404185
chr21	>105400151>105400152
chr21	>105398677>105398678
chr21	>105407183>105407185
chr21	>105400425>105400428
chr21	>105405670>105405672
chr21	>105407322>105407324
chr21	>105400608>105400610
chr21	>105406963>105406965
chr21	>105399252>105399254
chr21	>105401785>105401787
chr21	>105400509>105400511
chr21	>105400889>105400890
chr21	>105402040>105402041
chr21	>105402348>105402349
chr21	>105403644>105403646
chr21	>105402243>105402245
chr21	>105398549>105398550
chr21	>105403782>105403783
chr21	>105403782>105403784
chr21	>105404498>105404499
chr21	>105400458>105400459
chr21	>105404695>105404697
chr21	>105401387>105401388
chr21	>105401387>105401389
chr21	>105399333>105399335
chr21	>105402619>105402620
chr21	>105404721>105404723
chr21	>105406224>105406225
chr21	>105405272>105405274
chr21	>105405707>105405708
chr21	>105402836>105402837
chr21	>105401945>105401947
chr21	>105400866>105400868
chr21	>105406862>105406864
chr21	>105407406>105407407
chr21	>105398786>105398788
chr21	>105402639>105402640
chr21	>105404643>105404645
chr21	>105407303>105407304
chr21	>105400077>105400079
chr21	>105406768>105406770
chr21	>105405292>105405293
chr21	>105399544>105399545
chr21	>105405500>105405501
chr21	>105400554>105400556
chr21	>105402999>105403000
chr21	>105401168>105401170
chr21	>105399458>105399460
chr21	>105401908>105401910
chr21	>105402772>105402774
chr21	>105405082>105405083
chr21	>105404465>105404467
chr21	>105406530>105406531
chr21	>105402657>105402658
chr21	>105402859>105402861
chr21	>105407562>105407564
chr21	>105398905>105398906
chr21	>105399258>105399259
chr21	>105404048>105404049
chr21	>105401153>105401155
chr21	>105401465>105401466
chr21	>105401465>105401467
chr21	>105406275>105406276
chr21	>105403867>105403869
chr21	>105404862>105404864
chr21	>105406759>105406761
chr21	>105403068>105403069
chr21	>105405998>105406000
chr21	>105400964>105400965
chr21	>105404631>105404633
chr21	>105404438>105404440
chr21	>105401485>105401487
chr21	>105406675>105406677
chr21	>105400003>105400004
chr21	>105398727>105398729
chr21	>105401722>105401723
chr21	>105403220>105403222
chr21	>105405942>105405943
chr21	>105402985>105402986
chr21	>105402985>105402987
chr21	>105406410>105406412
chr21	>105400298>105400299
chr21	>105400298>105400308
chr21	>105402870>105402871
chr21	>105402221>105402222
chr21	>105407607>105407609
chr21	>105404462>105404464
chr21	>105402496>105402498
chr21	>105402496>105402499
chr21	>105402496>105402500
chr21	>105402496>105402501
chr21	>105402496>105402502
chr21	>105402496>105402504
chr21	>105402882>105402884
chr21	>105402340>105402342
chr21	>105407272>105407274
chr21	>105401155>105401156
chr21	>105401763>105401765
chr21	>105399234>105399236
chr21	>105403281>105403283
chr21	>105399219>105399220
chr21	>105399219>105399221
chr21	>105400045>105400047
chr21	>105399646>105399648
chr21	>105401370>105401372
chr21	>105404761>105404762
chr21	>105400893>105400895
chr21	>105399987>105399989
chr21	>105403740>105403742
chr21	>105407195>105407197
chr21	>105402493>105402494
chr21	>105403771>105403773
chr21	>105404086>105404087
chr21	>105404708>105404709
chr21	>105407446>105407447
chr21	>105407446>105407448
chr21	>105402382>105402384
chr21	>105404185>105404186
chr21	>105398496>105398497
chr21	>105405237>105405238
chr21	>105400060>105400061
chr21	>105403394>105403396
chr21	>105407107>105407108
chr21	>105407509>105407510
chr21	>105402187>105402188
chr21	>105400265>105400266
chr21	>105403574>105403576
chr21	>105406847>105406849
chr21	>105405720>105405722
chr21	>105407291>105407292
chr21	>105401597>105401599
chr21	>105400223>105400224
chr21	>105400895>105400896
chr21	>105403040>105403042
chr21	>105404633>105404634
chr21	>105398856>105398858
chr21	>105401684>105401685
chr21	>105404400>105404401
chr21	>105398970>105398972
chr21	>105407495>105407496
chr21	>105398618>105398619
chr21	>105405699>105405701
chr21	>105402853>105402855
chr21	>105401051>105401053
chr21	>105400042>105400044
chr21	>105400529>105400531
chr21	>105400529>105400532
chr21	>105400529>105400533
chr21	>105404921>105404923
chr21	>105404499>105404501
chr21	>105405342>105405343
chr21	>105401793>105401794
chr21	>105407582>105407583
chr21	>105405096>105405098
chr21	>105405372>105405373
chr21	>105402925>105402926
chr21	>105402502>105402504
chr21	>105399019>105399020
chr21	>105403317>105403318
chr21	>105404660>105404663
chr21	>105405289>105405292
chr21	>105405569>105405571
chr21	>105399106>105399107
chr21	>105402891>105402893
chr21	>105405278>105405279
chr21	>105402605>105402607
chr21	>105404557>105404559
chr21	>105404511>105404513
chr21	>105406020>105406022
chr21	>105399869>105399871
chr21	>105406321>105406323
chr21	>105400967>105400968
chr21	>105403137>105403138
chr21	>105406825>105406826
chr21	>105404194>105404195
chr21	>105406412>105406413
chr21	>105404682>105404683
chr21	>105406065>105406066
chr21	>105406338>105406340
chr21	>105399548>105399550
chr21	>105402047>105402049
chr21	>105405156>105405157
chr21	>105402467>105402468
chr21	>105402456>105402457
chr21	>105399765>105399767
chr21	>105402575>105402576
chr21	>105400498>105400499
chr21	>105402736>105402738
chr21	>105406606>105406608
chr21	>105405590>105405592
chr21	>105405726>105405728
chr21	>105400853>105400854
chr21	>105400853>105400855
chr21	>105398741>105398742
chr21	>105400347>105400348
chr21	>105407171>105407172
chr21	>105403525>105403526
chr21	>105399626>105399628
chr21	>105404955>105404957
chr21	>105403491>105403492
chr21	>105401389>105401390
chr21	>105401389>105401392
chr21	>105405226>105405228
chr21	>105401553>105401555
chr21	>105405562>105405563
chr21	>105398875>105398876
chr21	>105400592>105400594
chr21	>105407463>105407464
chr21	>105401526>105401527
chr21	>105403940>105403942
chr21	>105405858>105405860
chr21	>105400412>105400414
chr21	>105405323>105405325
chr21	>105406787>105406789
chr21	>105402732>105402733
chr21	>105401925>105401927
chr21	>105398921>105398923
chr21	>105404167>105404172
chr21	>105403621>105403622
chr21	>105400577>105400579
chr21	>105400217>105400218
chr21	>105406394>105406396
chr21	>105407219>105407220
chr21	>105407157>105407159
chr21	>105405745>105405746
chr21	>105406512>105406514
chr21	>105407448>105407449
chr21	>105399713>105399714
chr21	>105399713>105399717
chr21	>105399898>105399900
chr21	>105406756>105406758
chr21	>105402967>105402968
chr21	>105406658>105406660
chr21	>105406272>105406273
chr21	>105406601>105406602
chr21	>105406601>105406605
chr21	>105400048>105400050
chr21	>105399045>105399047
chr21	>105402510>105402511
chr21	>105402510>105402515
chr21	>105400664>105400666
chr21	>105405107>105405108
chr21	>105405107>105405109
chr21	>105400388>105400389
chr21	>105407492>105407493
chr21	>105403309>105403310
chr21	>105403474>105403476
chr21	>105402142>105402144
chr21	>105400006>105400007
chr21	>105403975>105403976
chr21	>105399293>105399294
chr21	>105399323>105399324
chr21	>105400018>105400020
chr21	>105403401>105403402
chr21	>105399604>105399605
chr21	>105404951>105404952
chr21	>105404871>105404873
chr21	>105407031>105407032
chr21	>105406133>105406134
chr21	>105406133>105406135
chr21	>105403996>105403998
chr21	>105405243>105405245
chr21	>105401211>105401213
chr21	>105406122>105406124
chr21	>105407280>105407281
chr21	>105407280>105407282
chr21	>105402172>105402173
chr21	>105404443>105404444
chr21	>105406015>105406017
chr21	>105399515>105399516
chr21	>105400943>105400944
chr21	>105398720>105398721
chr21	>105398933>105398934
chr21	>105406752>105406753
chr21	>105406087>105406088
chr21	>105407418>105407419
chr21	>105400776>105400777
chr21	>105399891>105399892
chr21	>105404694>105404695
chr21	>105398546>105398547
chr21	>105400033>105400035
chr21	>105402051>105402052
chr21	>105402290>105402291
chr21	>105403452>105403454
chr21	>105401700>105401702
chr21	>105398948>105398949
chr21	>105400449>105400450
chr21	>105401961>105401962
chr21	>105402452>105402454
chr21	>105405541>105405545
chr21	>105398619>105398621
chr21	>105403168>105403170
chr21	>105400379>105400380
chr21	>105405049>105405050
chr21	>105405446>105405447
chr21	>105403176>105403177
chr21	>105403477>105403479
chr21	>105399623>105399625
chr21	>105399536>105399537
chr21	>105399536>105399538
chr21	>105403242>105403243
chr21	>105406527>105406528
chr21	>105405967>105405968
chr21	>105402471>105402473
chr21	>105402218>105402219
chr21	>105404979>105404980
chr21	>105403264>105403266
chr21	>105401426>105401428
chr21	>105403999>105404001
chr21	>105404265>105404267
chr21	>105404265>105404269
chr21	>105407042>105407044
chr21	>105402953>105402955
chr21	>105402696>105402697
chr21	>105403448>105403449
chr21	>105405593>105405595
chr21	>105405336>105405337
chr21	>105398955>105398957
chr21	>105399619>105399620
chr21	>105403300>105403301
chr21	>105402316>105402317
chr21	>105401919>105401921
chr21	>105399297>105399299
chr21	>105403204>105403206
chr21	>105401766>105401768
chr21	>105400301>105400302
chr21	>105400301>105400308
chr21	>105400881>105400883
chr21	>105400116>105400118
chr21	>105401782>105401784
chr21	>105402055>105402057
chr21	>105402154>105402156
chr21	>105403750>105403751
chr21	>105400402>105400403
chr21	>105406314>105406315
chr21	>105401948>105401950
chr21	>105404326>105404328
chr21	>105404692>105404694
chr21	>105406883>105406885
chr21	>105400559>105400560
chr21	>105401708>105401709
chr21	>105399359>105399360
chr21	>105400875>105400877
chr21	>105406372>105406373
chr21	>105398566>105398567
chr21	>105406843>105406844
chr21	>105405104>105405105
chr21	>105398747>105398748
chr21	>105401794>105401796
chr21	>105406933>105406935
chr21	>105404674>105404676
chr21	>105398607>105398609
chr21	>105400877>105400878
chr21	>105407516>105407518
chr21	>105401226>105401228
chr21	>105404014>105404016
chr21	>105404670>105404671
chr21	>105402550>105402552
chr21	>105398888>105398890
chr21	>105405468>105405470
chr21	>105400172>105400174
chr21	>105401095>105401097
chr21	>105401638>105401639
chr21	>105401912>105401913
chr21	>105405754>105405755
chr21	>105406018>105406019
chr21	>105405152>105405153
chr21	>105405152>105405156
chr21	>105405875>105405876
chr21	>105406696>105406697
chr21	>105401575>105401576
chr21	>105401575>105401577
chr21	>105400174>105400175
chr21	>105403515>105403516
chr21	>105400571>105400573
chr21	>105401125>105401126
chr21	>105405588>105405590
chr21	>105406290>105406292
chr21	>105404120>105404122
chr21	>105401907>105401908
chr21	>105403848>105403850
chr21	>105400700>105400701
chr21	>105399362>105399363
chr21	>105403324>105403326
chr21	>105404750>105404751
chr21	>105404236>105404237
chr21	>105407480>105407481
chr21	>105404600>105404601
chr21	>105400682>105400684
chr21	>105401516>105401517
chr21	>105400512>105400514
chr21	>105401181>105401183
chr21	>105405441>105405443
chr21	>105400406>105400408
chr21	>105407426>105407427
chr21	>105405010>105405011
chr21	>105406837>105406838
chr21	>105403853>105403854
chr21	>105403853>105403855
chr21	>105399028>105399029
chr21	>105401269>105401270
chr21	>105402629>105402631
chr21	>105405361>105405363
chr21	>105404280>105404281
chr21	>105407436>105407438
chr21	>105406258>105406260
chr21	>105406524>105406525
chr21	>105400291>105400293
chr21	>105405345>105405346
chr21	>105402052>105402054
chr21	>105399456>105399457
chr21	>105401901>105401902
chr21	>105402071>105402073
chr21	>105402408>105402410
chr21	>105402830>105402831
chr21	>105405355>105405357
chr21	>105405579>105405581
chr21	>105403754>105403756
chr21	>105400032>105400033
chr21	>105401509>105401511
chr21	>105407375>105407376
chr21	>105401921>105401922
chr21	>105406207>105406209
chr21	>105406563>105406565
chr21	>105399858>105399860
chr21	>105405980>105405982
chr21	>105403231>105403233
chr21	>105398891>105398893
chr21	>105402183>105402186
chr21	>105399338>105399339
chr21	>105400993>105400994
chr21	>105399148>105399149
chr21	>105398681>105398683
chr21	>105401850>105401851
chr21	>105398544>105398546
chr21	>105407169>105407171
chr21	>105402970>105402971
chr21	>105400007>105400009
chr21	>105404762>105404764
chr21	>105405827>105405828
chr21	>105400250>105400251
chr21	>105405205>105405207
chr21	>105398686>105398687
chr21	>105403099>105403100
chr21	>105406497>105406499
chr21	>105403883>105403884
chr21	>105401652>105401654
chr21	>105405821>105405822
chr21	>105404026>105404028
chr21	>105402390>105402392
chr21	>105403483>105403485
chr21	>105404900>105404902
chr21	>105403673>105403675
chr21	>105405461>105405462
chr21	>105402735>105402736
chr21	>105399496>105399498
chr21	>105405713>105405714
chr21	>105403095>105403096
chr21	>105404700>105404701
chr21	>105405370>105405372
chr21	>105406982>105406983
chr21	>105399454>105399456
chr21	>105398530>105398532
chr21	>105400605>105400607
chr21	>105406548>105406549
chr21	>105400059>105400060
chr21	>105400059>105400061
chr21	>105400082>105400083
chr21	>105404218>105404219
chr21	>105406986>105406988
chr21	>105406251>105406252
chr21	>105401594>105401596
chr21	>105404373>105404374
